,Date,Open,High,Low,Close,Volume
0,2001-01-02,1320.280029,1320.280029,1276.050049,1283.27002,1129400000
1,2001-01-03,1283.27002,1347.76001,1274.619995,1347.560059,1880700000
2,2001-01-04,1347.560059,1350.23999,1329.140015,1333.339966,2131000000
3,2001-01-05,1333.339966,1334.77002,1294.949951,1298.349976,1430800000
4,2001-01-08,1298.349976,1298.349976,1276.290039,1295.859985,1115500000
5,2001-01-09,1295.859985,1311.719971,1295.140015,1300.800049,1191300000
6,2001-01-10,1300.800049,1313.76001,1287.280029,1313.27002,1296500000
7,2001-01-11,1313.27002,1332.189941,1309.719971,1326.819946,1411200000
8,2001-01-12,1326.819946,1333.209961,1311.589966,1318.550049,1276000000
9,2001-01-16,1318.319946,1327.810059,1313.329956,1326.650024,1205700000
10,2001-01-17,1326.650024,1346.920044,1325.410034,1329.469971,1349100000
11,2001-01-18,1329.890015,1352.709961,1327.410034,1347.969971,1445000000
12,2001-01-19,1347.969971,1354.550049,1336.73999,1342.540039,1407800000
13,2001-01-22,1342.540039,1353.619995,1333.839966,1342.900024,1164000000
14,2001-01-23,1342.900024,1362.900024,1339.630005,1360.400024,1232600000
15,2001-01-24,1360.400024,1369.75,1357.280029,1364.300049,1309000000
16,2001-01-25,1364.300049,1367.349976,1354.630005,1357.51001,1258000000
17,2001-01-26,1357.51001,1357.51001,1342.75,1354.949951,1098000000
18,2001-01-29,1354.920044,1365.540039,1350.359985,1364.170044,1053100000
19,2001-01-30,1364.170044,1375.680054,1356.199951,1373.72998,1149800000
20,2001-01-31,1373.72998,1383.369995,1364.660034,1366.01001,1295300000
21,2001-02-01,1366.01001,1373.5,1359.339966,1373.469971,1118800000
22,2001-02-02,1373.469971,1376.380005,1348.719971,1349.469971,1048400000
23,2001-02-05,1349.469971,1354.560059,1344.47998,1354.310059,1013000000
24,2001-02-06,1354.310059,1363.550049,1350.040039,1352.26001,1059600000
25,2001-02-07,1352.26001,1352.26001,1334.26001,1340.890015,1158300000
26,2001-02-08,1341.099976,1350.319946,1332.420044,1332.530029,1107200000
27,2001-02-09,1332.530029,1332.530029,1309.97998,1314.76001,1075500000
28,2001-02-12,1314.76001,1330.959961,1313.640015,1330.310059,1039100000
29,2001-02-13,1330.310059,1336.619995,1317.51001,1318.800049,1075200000
30,2001-02-14,1318.800049,1320.72998,1304.719971,1315.920044,1150300000
31,2001-02-15,1315.920044,1331.290039,1315.920044,1326.609985,1153700000
32,2001-02-16,1326.609985,1326.609985,1293.180054,1301.530029,1257200000
33,2001-02-20,1301.530029,1307.160034,1278.439941,1278.939941,1112200000
34,2001-02-21,1278.939941,1282.969971,1253.160034,1255.27002,1208500000
35,2001-02-22,1255.27002,1259.939941,1228.329956,1252.819946,1365900000
36,2001-02-23,1252.819946,1252.819946,1215.439941,1245.859985,1231300000
37,2001-02-26,1245.859985,1267.689941,1241.709961,1267.650024,1130800000
38,2001-02-27,1267.650024,1272.76001,1252.26001,1257.939941,1114100000
39,2001-02-28,1257.939941,1263.469971,1229.650024,1239.939941,1225300000
40,2001-03-01,1239.939941,1241.359985,1214.5,1241.22998,1294900000
41,2001-03-02,1241.22998,1251.01001,1219.73999,1234.180054,1294000000
42,2001-03-05,1234.180054,1242.550049,1234.040039,1241.410034,929200000
43,2001-03-06,1241.410034,1267.420044,1241.410034,1253.800049,1091800000
44,2001-03-07,1253.800049,1263.859985,1253.800049,1261.890015,1132200000
45,2001-03-08,1261.890015,1266.5,1257.599976,1264.73999,1114100000
46,2001-03-09,1264.73999,1264.73999,1228.420044,1233.420044,1085900000
47,2001-03-12,1233.420044,1233.420044,1176.780029,1180.160034,1229000000
48,2001-03-13,1180.160034,1197.829956,1171.5,1197.660034,1360900000
49,2001-03-14,1197.660034,1197.660034,1155.349976,1166.709961,1397400000
50,2001-03-15,1166.709961,1182.040039,1166.709961,1173.560059,1259500000
51,2001-03-16,1173.560059,1173.560059,1148.640015,1150.530029,1543560000
52,2001-03-19,1150.530029,1173.5,1147.180054,1170.810059,1126200000
53,2001-03-20,1170.810059,1180.560059,1142.189941,1142.619995,1235900000
54,2001-03-21,1142.619995,1149.390015,1118.73999,1122.140015,1346300000
55,2001-03-22,1122.140015,1124.27002,1081.189941,1117.579956,1723950000
56,2001-03-23,1117.579956,1141.829956,1117.579956,1139.829956,1364900000
57,2001-03-26,1139.829956,1160.02002,1139.829956,1152.689941,1114000000
58,2001-03-27,1152.689941,1183.349976,1150.959961,1182.170044,1314200000
59,2001-03-28,1182.170044,1182.170044,1147.829956,1153.290039,1333400000
60,2001-03-29,1153.290039,1161.689941,1136.26001,1147.949951,1234500000
61,2001-03-30,1147.949951,1162.800049,1143.829956,1160.329956,1280800000
62,2001-04-02,1160.329956,1169.51001,1137.51001,1145.869995,1254900000
63,2001-04-03,1145.869995,1145.869995,1100.189941,1106.459961,1386100000
64,2001-04-04,1106.459961,1117.5,1091.98999,1103.25,1425590000
65,2001-04-05,1103.25,1151.469971,1103.25,1151.439941,1368000000
66,2001-04-06,1151.439941,1151.439941,1119.290039,1128.430054,1266800000
67,2001-04-09,1128.430054,1146.130005,1126.380005,1137.589966,1062800000
68,2001-04-10,1137.589966,1173.920044,1137.589966,1168.380005,1349600000
69,2001-04-11,1168.380005,1182.23999,1160.26001,1165.890015,1290300000
70,2001-04-12,1165.890015,1183.51001,1157.72998,1183.5,1102000000
71,2001-04-16,1183.5,1184.640015,1167.380005,1179.680054,913900000
72,2001-04-17,1179.680054,1192.25,1168.900024,1191.810059,1109600000
73,2001-04-18,1191.810059,1248.420044,1191.810059,1238.160034,1918900000
74,2001-04-19,1238.160034,1253.709961,1233.390015,1253.689941,1486800000
75,2001-04-20,1253.699951,1253.699951,1234.410034,1242.97998,1338700000
